comparison;codec;preset;sequence;crf;real bitrate;subjective
2018;sz265;mv_ripping;ducks_take_off_sh;2000;0;4.13076524948125
2018;sz265;mv_ripping;ducks_take_off_sh;4000;0;5.2851326314020834
2018;t265;mv_ripping;ducks_take_off_sh;1000;0;2.0789890729559426
2018;t265;mv_ripping;ducks_take_off_sh;2000;0;4.172183499004143
2018;t265;mv_ripping;ducks_take_off_sh;4000;0;5.534516184265016
2018;uc265;mv_ripping;ducks_take_off_sh;1000;0;1.2007240608220837
2018;uc265;mv_ripping;ducks_take_off_sh;2000;0;2.3970918381388264
2018;uc265;mv_ripping;ducks_take_off_sh;4000;0;5.307542510254901
2018;vp9;mv_ripping;ducks_take_off_sh;1000;0;3.0027691203342894
2018;vp9;mv_ripping;ducks_take_off_sh;2000;0;4.711771940824117
2018;vp9;mv_ripping;ducks_take_off_sh;4000;0;5.548270595224288
2018;x264;mv_ripping;ducks_take_off_sh;1000;0;0
2018;x264;mv_ripping;ducks_take_off_sh;2000;0;2.1590883860158168
2018;x264;mv_ripping;ducks_take_off_sh;4000;0;4.329121284874227
2018;x265;mv_ripping;ducks_take_off_sh;1000;0;2.388361334417289
2018;x265;mv_ripping;ducks_take_off_sh;2000;0;4.426967378034091
2018;x265;mv_ripping;ducks_take_off_sh;4000;0;5.575122705024858
2018;intel_svt_hevc;mv_universal;ducks_take_off_sh;1000;0;2.313809690726623
2018;intel_svt_hevc;mv_universal;ducks_take_off_sh;2000;0;3.9102440754134604
2018;intel_svt_hevc;mv_universal;ducks_take_off_sh;4000;0;5.335320879546789
2018;vitec_v3;mv_fast;ducks_take_off_sh;1000;0;3.7338448166488467
2018;vitec_v3;mv_fast;ducks_take_off_sh;2000;0;4.9743245076101825
2018;vitec_v3;mv_fast;ducks_take_off_sh;4000;0;5.785756502113102
2018;divx;mv_ripping;mountain_bike_sh;1000;0;2.755375605149188
2018;divx;mv_ripping;mountain_bike_sh;2000;0;3.4597952721079026
2018;divx;mv_ripping;mountain_bike_sh;4000;0;3.5086868413973025
2018;huawei1;mv_ripping;mountain_bike_sh;1000;0;0
2018;huawei1;mv_ripping;mountain_bike_sh;2000;0;0
2018;huawei1;mv_ripping;mountain_bike_sh;4000;0;0
2018;huawei2;mv_ripping;mountain_bike_sh;1000;0;2.7264311734366102
2018;huawei2;mv_ripping;mountain_bike_sh;2000;0;3.1426347161706194
2018;huawei2;mv_ripping;mountain_bike_sh;4000;0;3.3880141586763406
2018;intel_mfx_sw;mv_ripping;mountain_bike_sh;1000;0;2.8318211352601796
2018;intel_mfx_sw;mv_ripping;mountain_bike_sh;2000;0;3.2195107043559283
2018;intel_mfx_sw;mv_ripping;mountain_bike_sh;4000;0;3.570603334472295
2018;intel_svt_hevc;mv_ripping;mountain_bike_sh;1000;0;1.5512828497157187
2018;intel_svt_hevc;mv_ripping;mountain_bike_sh;2000;0;2.7061445843893477
2018;intel_svt_hevc;mv_ripping;mountain_bike_sh;4000;0;3.4701789227113085
2018;ks265;mv_ripping;mountain_bike_sh;1000;0;2.2202209798852754
2018;ks265;mv_ripping;mountain_bike_sh;2000;0;3.3976499785705956
2018;ks265;mv_ripping;mountain_bike_sh;4000;0;3.7188654345179932
2018;sif;mv_ripping;mountain_bike_sh;1000;0;0.09560998813390897
2018;sif;mv_ripping;mountain_bike_sh;2000;0;1.8849164229067366
2018;sif;mv_ripping;mountain_bike_sh;4000;0;2.8561670429770287
2018;sz264;mv_ripping;mountain_bike_sh;1000;0;0
2018;sz264;mv_ripping;mountain_bike_sh;2000;0;2.694892058787432
2018;sz264;mv_ripping;mountain_bike_sh;4000;0;3.17237483587128
2018;sz265;mv_ripping;mountain_bike_sh;1000;0;2.0283238711834866
2018;sz265;mv_ripping;mountain_bike_sh;2000;0;2.6769593615160225
