Reference,Distorted,Metric,Metric_val,Mask,Subjective
CrowdRun_25fps.yuv,CrowdRun_65_1080_5800.yuv,ssim,0.8487,True,65
CrowdRun_25fps.yuv,CrowdRun_75_1080_7500.yuv,ssim,0.8797,True,75
CrowdRun_25fps.yuv,CrowdRun_80_1080_10000.yuv,ssim,0.9073,True,80
CrowdRun_25fps.yuv,CrowdRun_90_1080_15000.yuv,ssim,0.9358,True,90
CrowdRun_25fps.yuv,CrowdRun_03_288_375.yuv,psnr,26.925,True,03
CrowdRun_25fps.yuv,CrowdRun_40_480_2350.yuv,psnr,30.893,True,40
CrowdRun_25fps.yuv,CrowdRun_50_1080_4300.yuv,psnr,31.969,True,50
CrowdRun_25fps.yuv,CrowdRun_65_1080_5800.yuv,psnr,33.331,True,65
CrowdRun_25fps.yuv,CrowdRun_75_1080_7500.yuv,psnr,34.527,True,75
CrowdRun_25fps.yuv,CrowdRun_80_1080_10000.yuv,psnr,35.87,True,80
CrowdRun_25fps.yuv,CrowdRun_90_1080_15000.yuv,psnr,37.748,True,90
CrowdRun_25fps.yuv,CrowdRun_03_288_375.yuv,vmaf,10.216,True,03
CrowdRun_25fps.yuv,CrowdRun_40_480_2350.yuv,vmaf,44.926,True,40
CrowdRun_25fps.yuv,CrowdRun_50_1080_4300.yuv,vmaf,64.118,True,50
CrowdRun_25fps.yuv,CrowdRun_65_1080_5800.yuv,vmaf,74.052,True,65
CrowdRun_25fps.yuv,CrowdRun_75_1080_7500.yuv,vmaf,81.516,True,75
CrowdRun_25fps.yuv,CrowdRun_80_1080_10000.yuv,vmaf,88.435,True,80
CrowdRun_25fps.yuv,CrowdRun_90_1080_15000.yuv,vmaf,95.864,True,90
ElFuente1_30fps.yuv,ElFuente1_10_288_375.yuv,ssim,0.7599,True,10
ElFuente1_30fps.yuv,ElFuente1_25_384_750.yuv,ssim,0.8134,True,25
ElFuente1_30fps.yuv,ElFuente1_50_480_1750.yuv,ssim,0.8838,True,50
ElFuente1_30fps.yuv,ElFuente1_60_720_2350.yuv,ssim,0.8974,True,60
ElFuente1_30fps.yuv,ElFuente1_70_1080_4300.yuv,ssim,0.9266,True,70
ElFuente1_30fps.yuv,ElFuente1_85_1080_5800.yuv,ssim,0.944,True,85
ElFuente1_30fps.yuv,ElFuente1_90_1080_7500.yuv,ssim,0.9559,True,90
ElFuente1_30fps.yuv,ElFuente1_10_288_375.yuv,psnr,33.568,True,10
ElFuente1_30fps.yuv,ElFuente1_25_384_750.yuv,psnr,35.539,True,25
ElFuente1_30fps.yuv,ElFuente1_50_480_1750.yuv,psnr,38.448,True,50
ElFuente1_30fps.yuv,ElFuente1_60_720_2350.yuv,psnr,39.076,True,60
ElFuente1_30fps.yuv,ElFuente1_70_1080_4300.yuv,psnr,40.665,True,70
ElFuente1_30fps.yuv,ElFuente1_85_1080_5800.yuv,psnr,41.921,True,85
ElFuente1_30fps.yuv,ElFuente1_90_1080_7500.yuv,psnr,42.968,True,90
ElFuente1_30fps.yuv,ElFuente1_10_288_375.yuv,vmaf,20.482,True,10
ElFuente1_30fps.yuv,ElFuente1_25_384_750.yuv,vmaf,36.564,True,25
ElFuente1_30fps.yuv,ElFuente1_50_480_1750.yuv,vmaf,62.16,True,50
ElFuente1_30fps.yuv,ElFuente1_60_720_2350.yuv,vmaf,70.89,True,60
ElFuente1_30fps.yuv,ElFuente1_70_1080_4300.yuv,vmaf,87.266,True,70
ElFuente1_30fps.yuv,ElFuente1_85_1080_5800.yuv,vmaf,94.479,True,85
ElFuente1_30fps.yuv,ElFuente1_90_1080_7500.yuv,vmaf,98.204,True,90
ElFuente2_30fps.yuv,ElFuente2_05_288_375.yuv,ssim,0.7483,True,05
ElFuente2_30fps.yuv,ElFuente2_30_480_1750.yuv,ssim,0.8127,True,30
