Reference,Distorted,Metric,Metric_val,Mask,Subjective
CrowdRun_25fps.yuv,CrowdRun_65_1080_5800.yuv,ssim,0.8534,False,65
CrowdRun_25fps.yuv,CrowdRun_75_1080_7500.yuv,ssim,0.8816,False,75
CrowdRun_25fps.yuv,CrowdRun_80_1080_10000.yuv,ssim,0.9069,False,80
CrowdRun_25fps.yuv,CrowdRun_90_1080_15000.yuv,ssim,0.9334,False,90
CrowdRun_25fps.yuv,CrowdRun_03_288_375.yuv,psnr,23.003,False,03
CrowdRun_25fps.yuv,CrowdRun_40_480_2350.yuv,psnr,26.94,False,40
CrowdRun_25fps.yuv,CrowdRun_50_1080_4300.yuv,psnr,28.384,False,50
CrowdRun_25fps.yuv,CrowdRun_65_1080_5800.yuv,psnr,29.742,False,65
CrowdRun_25fps.yuv,CrowdRun_75_1080_7500.yuv,psnr,30.936,False,75
CrowdRun_25fps.yuv,CrowdRun_80_1080_10000.yuv,psnr,32.286,False,80
CrowdRun_25fps.yuv,CrowdRun_90_1080_15000.yuv,psnr,34.207,False,90
CrowdRun_25fps.yuv,CrowdRun_03_288_375.yuv,vmaf,10.441,False,03
CrowdRun_25fps.yuv,CrowdRun_40_480_2350.yuv,vmaf,46.018,False,40
CrowdRun_25fps.yuv,CrowdRun_50_1080_4300.yuv,vmaf,66.222,False,50
CrowdRun_25fps.yuv,CrowdRun_65_1080_5800.yuv,vmaf,75.832,False,65
CrowdRun_25fps.yuv,CrowdRun_75_1080_7500.yuv,vmaf,82.964,False,75
CrowdRun_25fps.yuv,CrowdRun_80_1080_10000.yuv,vmaf,89.565,False,80
CrowdRun_25fps.yuv,CrowdRun_90_1080_15000.yuv,vmaf,96.529,False,90
ElFuente1_30fps.yuv,ElFuente1_10_288_375.yuv,ssim,0.7824,False,10
ElFuente1_30fps.yuv,ElFuente1_25_384_750.yuv,ssim,0.8296,False,25
ElFuente1_30fps.yuv,ElFuente1_50_480_1750.yuv,ssim,0.8925,False,50
ElFuente1_30fps.yuv,ElFuente1_60_720_2350.yuv,ssim,0.9052,False,60
ElFuente1_30fps.yuv,ElFuente1_70_1080_4300.yuv,ssim,0.9317,False,70
ElFuente1_30fps.yuv,ElFuente1_85_1080_5800.yuv,ssim,0.9475,False,85
ElFuente1_30fps.yuv,ElFuente1_90_1080_7500.yuv,ssim,0.9584,False,90
ElFuente1_30fps.yuv,ElFuente1_10_288_375.yuv,psnr,28.43,False,10
ElFuente1_30fps.yuv,ElFuente1_25_384_750.yuv,psnr,30.477,False,25
ElFuente1_30fps.yuv,ElFuente1_50_480_1750.yuv,psnr,33.516,False,50
ElFuente1_30fps.yuv,ElFuente1_60_720_2350.yuv,psnr,34.446,False,60
ElFuente1_30fps.yuv,ElFuente1_70_1080_4300.yuv,psnr,36.361,False,70
ElFuente1_30fps.yuv,ElFuente1_85_1080_5800.yuv,psnr,37.856,False,85
ElFuente1_30fps.yuv,ElFuente1_90_1080_7500.yuv,psnr,39.159,False,90
ElFuente1_30fps.yuv,ElFuente1_10_288_375.yuv,vmaf,21.565,False,10
ElFuente1_30fps.yuv,ElFuente1_25_384_750.yuv,vmaf,38.284,False,25
ElFuente1_30fps.yuv,ElFuente1_50_480_1750.yuv,vmaf,63.774,False,50
