,Unnamed: 0,index,Reference,Distorted,Metric,Metric_val,Mask,Subjective
41,41,352,pool_underwater_1920x1080_25.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_pool_underwater_50.mp4,niqe,9.1783,True,2.7804859826463257
42,42,372,pumba_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_pumba_33.mp4,niqe,12.192,False,3.2317909055701373
43,43,396,pumba_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_pumba_33.mp4,niqe,12.632,True,3.2317909055701373
44,44,373,pumba_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_pumba_37.mp4,niqe,11.395,False,3.0168098377746557
45,45,397,pumba_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_pumba_37.mp4,niqe,12.793,True,3.0168098377746557
46,46,374,pumba_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_pumba_41.mp4,niqe,10.603,False,2.278083060265808
47,47,398,pumba_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_pumba_41.mp4,niqe,12.824,True,2.278083060265808
48,48,0,tourist_1920x1080_60.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_tourist_30.mp4,niqe,5.6523,False,2.9253659938959617
49,49,24,tourist_1920x1080_60.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_tourist_30.mp4,niqe,6.8061,True,2.9253659938959617
50,50,25,tourist_1920x1080_60.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_tourist_35.mp4,niqe,6.8457,True,2.8991198506871108
51,51,1,tourist_1920x1080_60.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_tourist_35.mp4,niqe,5.6905,False,2.8991198506871108
52,52,2,tourist_1920x1080_60.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_tourist_41.mp4,niqe,5.7992,False,1.9247942986328983
53,53,26,tourist_1920x1080_60.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_tourist_41.mp4,niqe,6.9487,True,1.9247942986328983
54,54,48,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_winter_riding_42.mp4,niqe,5.2895,False,5.200045585951776
55,55,70,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_winter_riding_42.mp4,niqe,6.4048,True,5.200045585951776
56,56,71,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_winter_riding_46.mp4,niqe,6.8432,True,4.297527371768411
57,57,49,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_winter_riding_46.mp4,niqe,5.6678,False,4.297527371768411
58,58,50,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_winter_riding_51.mp4,niqe,5.8031,False,3.1098792484366844
59,59,72,winter_riding_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_winter_riding_51.mp4,niqe,7.0161,True,3.1098792484366844
60,60,447,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33.mp4,niqe,11.144,True,6.346977572482853
61,61,423,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33.mp4,niqe,9.2575,False,6.346977572482853
62,62,448,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39.mp4,niqe,11.162,True,6.177970683278712
