Reference,Distorted,Metric,Metric_val,Mask
Reference,Distorted,Metric,Metric_val,Mask
Reference,Distorted,Metric,Metric_val,Mask
Reference,Distorted,Metric,Metric_val,Mask
Reference,Distorted,Metric,Metric_val,Mask
Reference,Distorted,Metric,Metric_val,Mask
Reference,Distorted,Metric,Metric_val,Mask
Reference,Distorted,Metric,Metric_val,Mask
Reference,Distorted,Metric,Metric_val,Mask
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_game_streamer_35.mp4,psnr,34.691,True
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_game_streamer_38.mp4,psnr,34.15,True
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_game_streamer_40.mp4,psnr,33.581,True
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v2_mv_offline_2k_game_streamer_33.mp4,psnr,33.235,True
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v2_mv_offline_2k_game_streamer_36.mp4,psnr,32.855,True
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v2_mv_offline_2k_game_streamer_39.mp4,psnr,32.403,True
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v3_mv_offline_2k_game_streamer_32.mp4,psnr,35.018,True
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v3_mv_offline_2k_game_streamer_34.mp4,psnr,34.203,True
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v3_mv_offline_2k_game_streamer_36.mp4,psnr,33.214,True
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_av1_mv_offline_2k_game_streamer_54.mp4,psnr,34.747,True
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_av1_mv_offline_2k_game_streamer_60.mp4,psnr,33.872,True
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_av1_mv_offline_2k_game_streamer_63.mp4,psnr,32.778,True
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_hevc_mv_offline_2k_game_streamer_34.mp4,psnr,34.193,True
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_hevc_mv_offline_2k_game_streamer_36.mp4,psnr,33.454,True
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_hevc_mv_offline_2k_game_streamer_39.mp4,psnr,32.254,True
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_vp9_mv_offline_2k_game_streamer_60.mp4,psnr,33.306,True
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_vp9_mv_offline_2k_game_streamer_63.mp4,psnr,32.361,True
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_x264_mv_offline_2k_game_streamer_32.mp4,psnr,34.551,True
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_x264_mv_offline_2k_game_streamer_34.mp4,psnr,33.493,True
enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_x264_mv_offline_2k_game_streamer_36.mp4,psnr,32.372,True
enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_happy_dog_36.mp4,psnr,41.223,True
enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_happy_dog_42.mp4,psnr,39.616,True
enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_happy_dog_47.mp4,psnr,37.243,True
enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_kingsoft_v2_mv_offline_2k_happy_dog_40.mp4,psnr,37.989,True
enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_kingsoft_v2_mv_offline_2k_happy_dog_45.mp4,psnr,37.551,True
enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_kingsoft_v2_mv_offline_2k_happy_dog_50.mp4,psnr,36.335,True
enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_kingsoft_v3_mv_offline_2k_happy_dog_29.mp4,psnr,41.307,True
enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_kingsoft_v3_mv_offline_2k_happy_dog_34.mp4,psnr,39.694,True
