,Reference,Distorted,Metric,Metric_val,Mask,Subjective
45,enc_res_x265_mv_offline_2k_tourist_26.mp4,enc_res_x265_mv_offline_2k_tourist_35.mp4,vmaf,76.082,True,1.6001187631594362
46,enc_res_x265_mv_offline_2k_winter_riding_37.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_winter_riding_42.mp4,vmaf,71.785,False,5.200045585951776
47,enc_res_x265_mv_offline_2k_winter_riding_37.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_winter_riding_46.mp4,vmaf,58.477,False,4.297527371768411
48,enc_res_x265_mv_offline_2k_winter_riding_37.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_winter_riding_51.mp4,vmaf,53.132,False,3.1098792484366844
49,enc_res_x265_mv_offline_2k_winter_riding_37.mp4,enc_res_kingsoft_v2_mv_offline_2k_winter_riding_44.mp4,vmaf,75.819,False,5.326823137182777
50,enc_res_x265_mv_offline_2k_winter_riding_37.mp4,enc_res_kingsoft_v2_mv_offline_2k_winter_riding_50.mp4,vmaf,64.177,False,4.123719547495732
51,enc_res_x265_mv_offline_2k_winter_riding_37.mp4,enc_res_kingsoft_v2_mv_offline_2k_winter_riding_51.mp4,vmaf,63.512,False,3.769923327541314
55,enc_res_x265_mv_offline_2k_winter_riding_37.mp4,enc_res_svt_av1_mv_offline_2k_winter_riding_61.mp4,vmaf,70.918,False,5.1940579378169724
56,enc_res_x265_mv_offline_2k_winter_riding_37.mp4,enc_res_svt_av1_mv_offline_2k_winter_riding_63.mp4,vmaf,62.728,False,4.832943160238411
57,enc_res_x265_mv_offline_2k_winter_riding_37.mp4,enc_res_svt_hevc_mv_offline_2k_winter_riding_38.mp4,vmaf,66.455,False,5.211766276001176
58,enc_res_x265_mv_offline_2k_winter_riding_37.mp4,enc_res_svt_hevc_mv_offline_2k_winter_riding_42.mp4,vmaf,52.98,False,4.443043865326779
59,enc_res_x265_mv_offline_2k_winter_riding_37.mp4,enc_res_svt_hevc_mv_offline_2k_winter_riding_46.mp4,vmaf,39.72,False,2.841769249748518
60,enc_res_x265_mv_offline_2k_winter_riding_37.mp4,enc_res_svt_vp9_mv_offline_2k_winter_riding_62.mp4,vmaf,65.457,False,4.910935206282724
61,enc_res_x265_mv_offline_2k_winter_riding_37.mp4,enc_res_svt_vp9_mv_offline_2k_winter_riding_63.mp4,vmaf,60.701,False,4.217130426480109
62,enc_res_x265_mv_offline_2k_winter_riding_37.mp4,enc_res_x264_mv_offline_2k_winter_riding_35.mp4,vmaf,65.595,False,4.7206459997597525
63,enc_res_x265_mv_offline_2k_winter_riding_37.mp4,enc_res_x264_mv_offline_2k_winter_riding_40.mp4,vmaf,40.472,False,2.357304249553178
64,enc_res_x265_mv_offline_2k_winter_riding_37.mp4,enc_res_x264_mv_offline_2k_winter_riding_45.mp4,vmaf,21.283,False,0.0
65,enc_res_x265_mv_offline_2k_winter_riding_37.mp4,enc_res_x265_mv_offline_2k_winter_riding_41.mp4,vmaf,60.803,False,4.234167906021242
66,enc_res_x265_mv_offline_2k_winter_riding_37.mp4,enc_res_x265_mv_offline_2k_winter_riding_46.mp4,vmaf,42.599,False,2.534463149609077
