,Reference,Distorted,Metric,Metric_val,Mask,Subjective
46,enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_game_streamer_35.mp4,ssim,0.8219,False,2.2617954164211453
47,enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_game_streamer_38.mp4,ssim,0.7799,False,2.087587413660723
48,enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_game_streamer_40.mp4,ssim,0.7387,False,1.6196787278474123
49,enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v2_mv_offline_2k_game_streamer_33.mp4,ssim,0.7247,False,3.42309942969763
50,enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v2_mv_offline_2k_game_streamer_36.mp4,ssim,0.6834,False,3.091838809536726
51,enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_kingsoft_v2_mv_offline_2k_game_streamer_39.mp4,ssim,0.6328,False,2.889996891814178
55,enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_av1_mv_offline_2k_game_streamer_54.mp4,ssim,0.8211,False,2.302250830294941
56,enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_av1_mv_offline_2k_game_streamer_60.mp4,ssim,0.7649,False,1.3644043762240956
57,enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_av1_mv_offline_2k_game_streamer_63.mp4,ssim,0.6792,False,0.4990683681939778
58,enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_hevc_mv_offline_2k_game_streamer_34.mp4,ssim,0.7997,False,1.6720956242526284
59,enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_hevc_mv_offline_2k_game_streamer_36.mp4,ssim,0.7434,False,1.2620629168098842
60,enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_hevc_mv_offline_2k_game_streamer_39.mp4,ssim,0.6233,False,0.7351471813818189
61,enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_vp9_mv_offline_2k_game_streamer_60.mp4,ssim,0.7438,False,1.1886798531174143
62,enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_svt_vp9_mv_offline_2k_game_streamer_63.mp4,ssim,0.6625,False,0.2374986171037001
63,enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_x264_mv_offline_2k_game_streamer_32.mp4,ssim,0.8343,False,1.462190775471651
64,enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_x264_mv_offline_2k_game_streamer_34.mp4,ssim,0.7658,False,0.7799539298883944
65,enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_x264_mv_offline_2k_game_streamer_36.mp4,ssim,0.6519,False,0.0
66,enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_x265_mv_offline_2k_game_streamer_35.mp4,ssim,0.8399,False,1.8848235937821904
67,enc_res_x265_mv_offline_2k_game_streamer_33.mp4,enc_res_x265_mv_offline_2k_game_streamer_37.mp4,ssim,0.7347,False,1.744360648331075
68,enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_happy_dog_36.mp4,ssim,0.9491,False,5.686362388379153
69,enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_happy_dog_42.mp4,ssim,0.9314,False,4.968874392722927
70,enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_kingsoft_v1_mv_offline_2k_v1_happy_dog_47.mp4,ssim,0.8979,False,4.273562604975009
71,enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_kingsoft_v2_mv_offline_2k_happy_dog_40.mp4,ssim,0.9316,False,6.306374806579198
72,enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_kingsoft_v2_mv_offline_2k_happy_dog_45.mp4,ssim,0.9232,False,5.69721475860444
73,enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_kingsoft_v2_mv_offline_2k_happy_dog_50.mp4,ssim,0.898,False,4.513768049721605
77,enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_svt_av1_mv_offline_2k_happy_dog_52.mp4,ssim,0.9493,False,5.7599814108709
78,enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_svt_av1_mv_offline_2k_happy_dog_60.mp4,ssim,0.9358,False,4.993022458738913
79,enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_svt_av1_mv_offline_2k_happy_dog_63.mp4,ssim,0.9179,False,4.323544281838306
80,enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_svt_hevc_mv_offline_2k_happy_dog_33.mp4,ssim,0.9424,False,5.631254274617324
81,enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_svt_hevc_mv_offline_2k_happy_dog_38.mp4,ssim,0.9201,False,5.047177799163194
82,enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_svt_hevc_mv_offline_2k_happy_dog_43.mp4,ssim,0.8828,False,3.798630757057096
83,enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_svt_vp9_mv_offline_2k_happy_dog_56.mp4,ssim,0.9314,False,5.304836070525108
84,enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_svt_vp9_mv_offline_2k_happy_dog_63.mp4,ssim,0.9028,False,3.965625546673695
85,enc_res_x265_mv_offline_2k_happy_dog_31.mp4,enc_res_x264_mv_offline_2k_happy_dog_32.mp4,ssim,0.931,False,5.088245954822568
