,Reference,Distorted,Metric,Metric_val,Mask,Subjective
51,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_38.mp4,ssim,0.9539,False,5.66340286203501
52,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v1_mv_offline_2k_v1_blue_hair_43.mp4,ssim,0.9434,False,5.243526334400184
53,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_33.mp4,ssim,0.9567,False,6.346977572482853
54,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_39.mp4,ssim,0.9486,False,6.177970683278712
55,blue_hair_1920x1080_30.yuv,enc_res_kingsoft_v2_mv_offline_2k_blue_hair_45.mp4,ssim,0.9376,False,5.417861161606206
59,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_40.mp4,ssim,0.9649,False,5.5305848584583055
60,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_48.mp4,ssim,0.9549,False,5.4081835197032735
61,blue_hair_1920x1080_30.yuv,enc_res_svt_av1_mv_offline_2k_blue_hair_58.mp4,ssim,0.9406,False,4.723917251086838
62,blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_28.mp4,ssim,0.9573,False,5.579203281635387
63,blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_33.mp4,ssim,0.9429,False,5.108962307167965
64,blue_hair_1920x1080_30.yuv,enc_res_svt_hevc_mv_offline_2k_blue_hair_38.mp4,ssim,0.9277,False,3.893108075587005
65,blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_45.mp4,ssim,0.9568,False,5.541520546818917
66,blue_hair_1920x1080_30.yuv,enc_res_svt_vp9_mv_offline_2k_blue_hair_54.mp4,ssim,0.9426,False,4.528711020730032
